TITLE,PLAYER/CHARACTER,SERIAL NUMBER,SET,GRADE,GRADER,VARIANT,AUTOGRAPH,YEAR,LANGUAGE,PRICE,CATEGORY,OTHER META,MP4 URL,IMAGE URL,URL TO PRODUCT
2023 POKEMON SWORD AND SHIELD CROWN ZENITH FA/ZERAORA VSTAR (PSA GEM MT 10),FA/ZERAORA VSTAR,109227953,POKEMON SWORD AND SHIELD CROWN ZENITH,GEM MT 10,PSA,CROWN ZENITH,No,2023,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109227953.mp4,https://cdn.dripshop.live/dripnfts/slabs/109227953.jpg,https://www.dripshop.live/products/qrVJIsjmChzoYIifRZDjI
2020 POKEMON SWORD & SHIELD DARKNESS ABLAZE FA/SCIZOR VMAX (PSA GEM MT 10),FA/SCIZOR VMAX,54572004,POKEMON SWORD & SHIELD DARKNESS ABLAZE,GEM MT 10,PSA,DARKNESS ABLAZE,No,2020,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/54572004.mp4,https://cdn.dripshop.live/dripnfts/slabs/54572004.jpg,https://www.dripshop.live/products/dSgITGY8YYEypKLyn8QWa
2023 POKEMON PAL EN-PALDEA EVOLVED SUPER ROD (PSA GEM MT 10),SUPER ROD,82972026,POKEMON PAL EN-PALDEA EVOLVED,GEM MT 10,PSA,HYPER RARE,No,2023,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/82972026.mp4,https://cdn.dripshop.live/dripnfts/slabs/82972026.jpg,https://www.dripshop.live/products/Lp8nyRjH8PBvUOZiDJ07Q
2024 POKEMON PAF EN-PALDEAN FATES ODDISH (PSA GEM MT 10),ODDISH,104233903,POKEMON PAF EN-PALDEAN FATES,GEM MT 10,PSA,SHINY RARE,No,2024,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/104233903.mp4,https://cdn.dripshop.live/dripnfts/slabs/104233903.jpg,https://www.dripshop.live/products/U6za3wPgZzOxSq5fACIFc
2022 POKEMON SWORD & SHIELD BRILLIANT STARS FA/SS URSHIFU VMAX (PSA GEM MT 10),FA/SS URSHIFU VMAX,103559342,POKEMON SWORD & SHIELD BRILLIANT STARS,GEM MT 10,PSA,BRILLIANT STARS,No,2022,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/103559342.mp4,https://cdn.dripshop.live/dripnfts/slabs/103559342.jpg,https://www.dripshop.live/products/sNkL1uvQ04BSuEE4FSABG
1999 POKEMON JUNGLE VAPOREON-HOLO (PSA NM 7),VAPOREON-HOLO,116556466,POKEMON JUNGLE,NM 7,PSA,N/A,No,1999,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/116556466.mp4,https://cdn.dripshop.live/dripnfts/slabs/116556466.jpg,https://www.dripshop.live/products/WBDj1zaQF8as9B5TDjBUt
1999 POKEMON JUNGLE KANGASKHAN-HOLO (PSA NM-MT 8),KANGASKHAN-HOLO,82511788,POKEMON JUNGLE,NM-MT 8,PSA,N/A,No,1999,English,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/82511788.mp4,https://cdn.dripshop.live/dripnfts/slabs/82511788.jpg,https://www.dripshop.live/products/U_rTXt-08RYV6QG3r6o_A
1996 POKEMON JAPANESE BASIC MAGNETON-HOLO (PSA MINT 9),MAGNETON-HOLO,82972681,POKEMON JAPANESE BASIC,MINT 9,PSA,N/A,No,1996,Japanese,$64.40,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/82972681.mp4,https://cdn.dripshop.live/dripnfts/slabs/82972681.jpg,https://www.dripshop.live/products/5-FwUL1eZrBugdilko5gz
2001 Pokemon Neo Dark Ampharos (CGC GEM MINT 10),Dark Ampharos,4043575249,Pokemon Neo,GEM MINT 10,CGC,Holo,No,2001,English,$64.00,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/4043575249.mp4,https://cdn.dripshop.live/dripnfts/slabs/4043575249.jpg,https://www.dripshop.live/products/qox47i8AqQCrCo3Z2ScwB
2005 POKEMON EX DELTA SPECIES WEEDLE-REV.FOIL (PSA MINT 9),WEEDLE-REV.FOIL,109467316,POKEMON EX DELTA SPECIES,MINT 9,PSA,DELTA SPECIES,No,2005,English,$63.25,Pokemon,,https://cdn.dripshop.live/dripnfts/slabs/109467316.mp4,https://cdn.dripshop.live/dripnfts/slabs/109467316.jpg,https://www.dripshop.live/products/OKBUGcPkFPbdz47q-xHDS
